img_path,top_category,top_color,bottom_category,bottom_color
..\object_detection\ClothesCategory_v9\test\images\15663316_blurr_jpg.rf.9b4aa9c32748f01fb95c1a6e9508e9bf.jpg,shortsleeve,darkslategrey,trainingpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\15739384_jpg.rf.14dd7ac45c7333e2c4c6b9b7f0c192a2.jpg,coat,black,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\15798076_jpg.rf.c0cd20b7fd9b00e833b8adb2166a073b.jpg,padding,ivory,cottonpants,tan
..\object_detection\ClothesCategory_v9\test\images\15826577_jpg.rf.cf689724f2dc2acca96c4c49d3f796cf.jpg,shortsleeve,dimgrey,shortpants,slategrey
..\object_detection\ClothesCategory_v9\test\images\15916070_jpg.rf.14ff9e301bc4b1a3159f2fe846192f00.jpg,cardigan,grey,slacks,black
..\object_detection\ClothesCategory_v9\test\images\15917233_jpg.rf.d910f536f0b5517b34da0c191d47811b.jpg,longsleeve,black,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\15927388_jpg.rf.711e85c11c2d155b580dd362f514c944.jpg,blazer,darkslategrey,slacks,grey
..\object_detection\ClothesCategory_v9\test\images\15967682_jpg.rf.1e8b376acb35279404c55850c14d4f9a.jpg,blazer,dimgrey,cottonpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\16011175_blurr_jpg.rf.a4936a93b91b9a6239ddeea5b08119f5.jpg,shortsleeve,black,slacks,black
..\object_detection\ClothesCategory_v9\test\images\16020463_jpg.rf.1eec76ec9718714a07d0d4b3da48a3ca.jpg,coat,black,slacks,black
..\object_detection\ClothesCategory_v9\test\images\16026791_jpg.rf.5b0c3c98ed8c93d2f24036a5b2394ef3.jpg,coat,darkslategrey,slacks,black
..\object_detection\ClothesCategory_v9\test\images\16075778_jpg.rf.bb71023e71c7369f026e7e822f46b4e3.jpg,shortsleeve,black,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\16086218_jpg.rf.af98257247c6c8dfeeb9e811790f359f.jpg,cardigan,black,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\16213276_jpg.rf.345d371a9bd95aea7c08ea2cfce9633b.jpg,hoodies,rosybrown,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\16248296_jpg.rf.7e7ff1ea2e37dd093c31809d1ced39d0.jpg,cardigan,black,cottonpants,darkolivegreen
..\object_detection\ClothesCategory_v9\test\images\16272559_jpg.rf.76879a2f3b40d7d965580c12753d390f.jpg,longsleeve,dimgrey,skirt,dimgrey
..\object_detection\ClothesCategory_v9\test\images\16294749_jpg.rf.10b16d68326ebcc4260af003cacd2950.jpg,mtm,black,slacks,black
..\object_detection\ClothesCategory_v9\test\images\16307445_jpg.rf.1f0276bf4f60d39af3acea2ea387c78b.jpg,shortsleeve,black,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\16313306_jpg.rf.ed8a147a8ce66b78ca438555c32e6a51.jpg,cardigan,tan,skirt,black
..\object_detection\ClothesCategory_v9\test\images\16316438_jpg.rf.c1c040e7fdf51825b68b7c7dab80022a.jpg,mtm,black,denimpants,grey
..\object_detection\ClothesCategory_v9\test\images\16323663_blurr_jpg.rf.98dd189d3839eef0052ad3a0902134f4.jpg,mtm,cadetblue,shortpants,mediumaquamarine
..\object_detection\ClothesCategory_v9\test\images\16333488_jpg.rf.866b8701691f2e0b6c08d4900a7df877.jpg,shortsleeve,black,shortpants,silver
..\object_detection\ClothesCategory_v9\test\images\16343933_jpg.rf.ed9b224ddd3247ed595d3189b4834981.jpg,mtm,black,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\16378963_jpg.rf.1762e33eb16883823d1ede676e805958.jpg,mtm,darkslategrey,shortpants,silver
..\object_detection\ClothesCategory_v9\test\images\16380276_jpg.rf.0698296a2e1137b7c0f6044cecdb5cef.jpg,blazer,black,cottonpants,tan
..\object_detection\ClothesCategory_v9\test\images\16388910_jpg.rf.5902c4dc6de701f35f1fca613501e073.jpg,mtm,darkgrey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\16481742_jpg.rf.454d3a47fd8c2131419c01a5d119bce8.jpg,mtm,darkolivegreen,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\16487932_jpg.rf.029b75ff2412ecd1abeaf30404d235ad.jpg,shortsleeve,darkslategrey,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\16528686_jpg.rf.f29c0a7117a4d6f8b6501097b2861aa7.jpg,cardigan,silver,slacks,silver
..\object_detection\ClothesCategory_v9\test\images\16540953_blurr_jpg.rf.8a61259bf914bb2f65299fe3ee7f4f7e.jpg,hoodies,silver,trainingpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\16545722_blurr_jpg.rf.d9baff301a397d3d44ae71a86ddde2ea.jpg,zipup,darkslategrey,shortpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\16579468_jpg.rf.d29702a8628f82a2c6230fef13bed192.jpg,cardigan,darkslategrey,trainingpants,black
..\object_detection\ClothesCategory_v9\test\images\16582443_jpg.rf.449bd146a7b9aed8773c348a03e36452.jpg,mtm,black,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\16595698_jpg.rf.2290b8f11bdacb752d89df174c0c1fa7.jpg,mtm,black,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\16610780_blurr_jpg.rf.c46f94d773987fa667550eb2bacc39e5.jpg,shortsleeve,black,shortpants,maroon
..\object_detection\ClothesCategory_v9\test\images\16657102_blurr_jpg.rf.a2fb39ff4326b6c437c2e323c600a160.jpg,shortsleeve,lavender,denimpants,lightsteelblue
..\object_detection\ClothesCategory_v9\test\images\16658364_jpg.rf.f4d252a6f409bc5a77d51a0d81e2fbc5.jpg,cardigan,black,slacks,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\16721559_jpg.rf.20017226c7e90c3ed4a73a21fd01216f.jpg,shortsleeve,black,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\16745159_jpg.rf.9a7d3b27ffd67c1e4f510439cbddca8b.jpg,zipup,darkgrey,shortpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\16764943_jpg.rf.0abaef5218a275de0c6733b6a570819f.jpg,shortsleeve,lavender,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\16791503_jpg.rf.c37fbe5a244a81dfa8717e82ac6c9e5d.jpg,longsleeve,black,shortpants,rosybrown
..\object_detection\ClothesCategory_v9\test\images\16802137_jpg.rf.2df82622287eca486ff164d45457b6f3.jpg,shortsleeve,darkgrey,shortpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\16812215_jpg.rf.0d76667b1a6f7a25928da7c3ada1be8d.jpg,shirt,white,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\16836724_jpg.rf.5b390e92a4d8e791d7aba4005bf09dca.jpg,shirt,white,slacks,black
..\object_detection\ClothesCategory_v9\test\images\16850753_jpg.rf.2079a6aa42fcf7e37254f584afad2f37.jpg,shortsleeve,crimson,shortpants,darkgoldenrod
..\object_detection\ClothesCategory_v9\test\images\16881004_jpg.rf.57caa9146023f9ccdd93a083975b1108.jpg,shortsleeve,darkslategrey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\16884327_jpg.rf.fe250688a327e6a08d5683c7731054fc.jpg,hoodies,black,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\16890725_jpg.rf.9abafa2f89b0419850d1d3048577a7ba.jpg,shortsleeve,gainsboro,shortpants,darkgrey
..\object_detection\ClothesCategory_v9\test\images\16890785_jpg.rf.159ebd03c617427894714c436feaae85.jpg,mtm,black,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\16902541_jpg.rf.2e1b017ff2fa2eb349c0cdf974d47478.jpg,mtm,lightslategrey,shortpants,lightgrey
..\object_detection\ClothesCategory_v9\test\images\16919801_jpg.rf.f8bd242495ce78851df754d4862d8d59.jpg,shirt,darkslategrey,shortpants,grey
..\object_detection\ClothesCategory_v9\test\images\16942664_jpg.rf.c8fc948a5a3149a5b031382aab1484d9.jpg,shortsleeve,black,skirt,white
..\object_detection\ClothesCategory_v9\test\images\16945043_jpg.rf.c819483b2677a4820a0f1d56212f3d57.jpg,shortsleeve,silver,shortpants,grey
..\object_detection\ClothesCategory_v9\test\images\16948499_jpg.rf.3e178293822f2e47df735b141a61d69e.jpg,shortsleeve,darkslategrey,shortpants,darkcyan
..\object_detection\ClothesCategory_v9\test\images\16961771_jpg.rf.eb54c82d5f7b4e483ea223256ad4dbb9.jpg,shirt,grey,shortpants,silver
..\object_detection\ClothesCategory_v9\test\images\17018290_blurr_jpg.rf.7eca8e7c8a74a010a2cb51ac1921a071.jpg,mtm,black,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17027004_jpg.rf.2263b33db9c8fbc89c862a1125458e09.jpg,shortsleeve,black,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\17036426_blurr_jpg.rf.2b94ef068fc8a35215cc0d16da919e4a.jpg,shortsleeve,silver,skirt,black
..\object_detection\ClothesCategory_v9\test\images\17057426_jpg.rf.9acf7bc97f12cd322ce308eb59fe05b2.jpg,shortsleeve,grey,shortpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\17103502_jpg.rf.884019155a96a456fca626b70f59d8ef.jpg,shirt,dimgrey,skirt,black
..\object_detection\ClothesCategory_v9\test\images\17108789_blurr_jpg.rf.377ea26ec1949c1d491a72a6d699c800.jpg,cardigan,black,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\1710959_jpg.rf.e5f9aec03dbf730d1629920cbdec8873.jpg,padding,black,slacks,black
..\object_detection\ClothesCategory_v9\test\images\17111784_blurr_jpg.rf.e26d7cb7f8644220f983d6c43fb76955.jpg,jacket,gainsboro,slacks,dimgrey
..\object_detection\ClothesCategory_v9\test\images\17159600_jpg.rf.b28f3a2ff773c0e75cd7bfebf70c1720.jpg,shortsleeve,rosybrown,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17181156_blurr_jpg.rf.ef9e72f73efacd35a1935b0c9f7d672b.jpg,longsleeve,black,shortpants,grey
..\object_detection\ClothesCategory_v9\test\images\17209878_jpg.rf.95e90a88e740cbdc2032ead54494a133.jpg,shortsleeve,darkslategrey,shortpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\17213924_jpg.rf.465d80c51806d18fcc75a86bbb20ece8.jpg,shirt,black,shortpants,slategrey
..\object_detection\ClothesCategory_v9\test\images\17239948_blurr_jpg.rf.769922958a5a31270fe08ba95620075a.jpg,shirt,lightsteelblue,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17241001_jpg.rf.0c684281cdc1d94e2c1130cb97313b1b.jpg,shortsleeve,darkslategrey,shortpants,tan
..\object_detection\ClothesCategory_v9\test\images\17269423_jpg.rf.042ce2cd267adecf899c9d7231781ddc.jpg,shortsleeve,whitesmoke,shortpants,gainsboro
..\object_detection\ClothesCategory_v9\test\images\17285474_blurr_jpg.rf.bf9d86aa1847dc0216e9866dbb3ad0c7.jpg,shortsleeve,aliceblue,shortpants,darkslateblue
..\object_detection\ClothesCategory_v9\test\images\17288337_jpg.rf.f7530355701ae824d024b5b883240c1c.jpg,zipup,darkgrey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17295600_jpg.rf.c07d49bbe75a42bb67271eb746e8ceed.jpg,shortsleeve,black,shortpants,darkgrey
..\object_detection\ClothesCategory_v9\test\images\17316179_jpg.rf.a9f5284c21c8a469d5ad8dbca0cb903c.jpg,shortsleeve,darkgrey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17350466_blurr_jpg.rf.942b786ed182e3bfec259d94c34aefcc.jpg,shortsleeve,black,shortpants,darkgrey
..\object_detection\ClothesCategory_v9\test\images\17351292_jpg.rf.b70c7408842b62521dea9d56ad02e173.jpg,shortsleeve,lightslategrey,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\17366199_jpg.rf.6218c47e855371cd806839ffd524a90c.jpg,shirt,dimgrey,shortpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\17397994_jpg.rf.8e4c320327e92023b9cee714a3aeca58.jpg,shirt,darkgrey,shortpants,darkolivegreen
..\object_detection\ClothesCategory_v9\test\images\17422142_blurr_jpg.rf.56035a0ca7d18387844e42a3dd94774a.jpg,shortsleeve,thistle,shortpants,lightgrey
..\object_detection\ClothesCategory_v9\test\images\17422428_blurr_jpg.rf.91f23ae892838ba360cce482db24501c.jpg,shortsleeve,midnightblue,shortpants,lightslategrey
..\object_detection\ClothesCategory_v9\test\images\17422495_blurr_jpg.rf.379155f60aa83a7853997702d1a81e5c.jpg,shirt,black,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\17424819_blurr_jpg.rf.9eb0d78a328f4becf2661020028c097e.jpg,shirt,silver,shortpants,black
