img_path,top_category,top_color,bottom_category,bottom_color,top_color_cluster,bottom_color_cluster
..\object_detection\ClothesCategory_v9\test\images\10591133_jpg.rf.c3c2ccba752eec4a1a178ecd7b17c49b.jpg,shortsleeve,xkcd:light grey,shortpants,xkcd:charcoal,-1,49
..\object_detection\ClothesCategory_v9\test\images\11064864_jpg.rf.d6af17d3600e7939bc7166541aa73b8c.jpg,shirt,xkcd:cool grey,shortpants,xkcd:greyish,19,14
..\object_detection\ClothesCategory_v9\test\images\11136237_jpg.rf.0f717eaa4ff30734a4194d3aa826dae9.jpg,shortsleeve,xkcd:pinkish grey,shortpants,xkcd:brownish purple,-1,15
..\object_detection\ClothesCategory_v9\test\images\11225748_jpg.rf.a12954f2c600b5a435869a2d6b60ed17.jpg,shortsleeve,xkcd:camo green,shortpants,xkcd:brownish grey,52,17
..\object_detection\ClothesCategory_v9\test\images\11246839_jpg.rf.75b31de678b1667f12e59934b95ea692.jpg,shortsleeve,xkcd:almost black,shortpants,xkcd:beige,-1,-1
..\object_detection\ClothesCategory_v9\test\images\11280533_jpg.rf.4db9636bb027f52c5f5a2283f37ab7fd.jpg,shirt,xkcd:navy,shortpants,xkcd:midnight,38,38
..\object_detection\ClothesCategory_v9\test\images\11422175_jpg.rf.1ba32d46b6ed8e02b593897a191cfe14.jpg,mtm,xkcd:charcoal grey,shortpants,xkcd:black,49,-1
..\object_detection\ClothesCategory_v9\test\images\11481788_jpg.rf.dc4bf83ead61bac7462c51ad4cdd4878.jpg,longsleeve,xkcd:charcoal grey,cottonpants,xkcd:light grey,49,-1
..\object_detection\ClothesCategory_v9\test\images\11563652_jpg.rf.68be34f14755e55a42a8441e0dc59ddb.jpg,longsleeve,xkcd:charcoal grey,denimpants,xkcd:charcoal grey,49,49
..\object_detection\ClothesCategory_v9\test\images\11602599_jpg.rf.50f86f4bc209272e3081f1de4b9a1390.jpg,shirt,xkcd:purpley grey,shortpants,xkcd:greyish brown,70,17
..\object_detection\ClothesCategory_v9\test\images\11647184_jpg.rf.5cbb0c4c51d3071b1521e7ee7fb72a8e.jpg,mtm,xkcd:almost black,shortpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\11704906_jpg.rf.f9e2d111a69babd7b6fd48fa0403fa11.jpg,shirt,xkcd:light peach,shortpants,xkcd:almost black,9,-1
..\object_detection\ClothesCategory_v9\test\images\11762200_blurr_jpg.rf.b3e71ac93eafca58d8726cf7034b7546.jpg,shirt,xkcd:pale lilac,cottonpants,xkcd:grey brown,27,17
..\object_detection\ClothesCategory_v9\test\images\11875032_jpg.rf.fbfe430454fe2780480a6a682b5d1084.jpg,shirt,xkcd:grey,shortpants,xkcd:dark,70,-1
..\object_detection\ClothesCategory_v9\test\images\11888731_jpg.rf.e89b892bbd7341316783b11696e14567.jpg,blazer,xkcd:brown grey,slacks,xkcd:brownish grey,17,17
..\object_detection\ClothesCategory_v9\test\images\11937763_jpg.rf.7822ad377d5222fe39d3572d2ef022e6.jpg,shortsleeve,xkcd:gunmetal,denimpants,xkcd:almost black,36,-1
..\object_detection\ClothesCategory_v9\test\images\11948721_jpg.rf.70ff49be555d04e3e20c91c63cb60e58.jpg,mtm,xkcd:gunmetal,slacks,xkcd:charcoal,36,49
..\object_detection\ClothesCategory_v9\test\images\11972986_blurr_jpg.rf.bb0706f05778aa9a2622529f040f8044.jpg,cardigan,xkcd:battleship grey,denimpants,xkcd:slate,12,36
..\object_detection\ClothesCategory_v9\test\images\11973207_jpg.rf.696ba0e0395d403464dd24897ef0b687.jpg,cardigan,xkcd:pinkish grey,denimpants,xkcd:dark grey,-1,49
..\object_detection\ClothesCategory_v9\test\images\11974774_jpg.rf.c65022a135ee73f9f8bd3c975fcca5cf.jpg,shortsleeve,xkcd:medium grey,shortpants,xkcd:almost black,21,-1
..\object_detection\ClothesCategory_v9\test\images\11986087_jpg.rf.f5c6dde638cb4c7d332a6b26c7afaae7.jpg,shortsleeve,xkcd:pale brown,shortpants,xkcd:dark brown,14,59
..\object_detection\ClothesCategory_v9\test\images\11986305_jpg.rf.574d1491c33f4a164e550101a4ed5d0b.jpg,mtm,xkcd:greyish,slacks,xkcd:almost black,14,-1
..\object_detection\ClothesCategory_v9\test\images\12010835_jpg.rf.84cbf2e7f090f4d269c0c8da2e53f55a.jpg,shirt,xkcd:pinkish grey,denimpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\12072288_jpg.rf.96361327ab7e673d54d087e1006f4a48.jpg,blazer,xkcd:dark taupe,slacks,xkcd:dark taupe,17,17
..\object_detection\ClothesCategory_v9\test\images\12092558_jpg.rf.99a402d387c037ea6b32205f6fb3a76e.jpg,shirt,xkcd:light navy blue,shortpants,xkcd:almost black,36,-1
..\object_detection\ClothesCategory_v9\test\images\12107613_jpg.rf.b3bc847d7e9b9e1a4c654b5b98b7b055.jpg,padding,xkcd:greyish brown,slacks,xkcd:almost black,17,-1
..\object_detection\ClothesCategory_v9\test\images\12141181_jpg.rf.9880add08275ce525153907d6739b78b.jpg,longsleeve,xkcd:light grey,denimpants,xkcd:gunmetal,-1,36
..\object_detection\ClothesCategory_v9\test\images\12149885_blurr_jpg.rf.9b1b6b2473eb7012dd5ce73e27fc2bfa.jpg,shirt,xkcd:light grey blue,shortpants,xkcd:silver,76,-1
..\object_detection\ClothesCategory_v9\test\images\12245992_blurr_jpg.rf.03dacfd56154ca12fddacd3bf42cad9e.jpg,cardigan,xkcd:gunmetal,trainingpants,xkcd:gunmetal,36,36
..\object_detection\ClothesCategory_v9\test\images\12344551_jpg.rf.ede0a9ae4d52929b4b4c694c9fc44f55.jpg,padding,xkcd:black,denimpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\12442836_blurr_jpg.rf.d4e4da077853607cf520a841f63cacd0.jpg,mtm,xkcd:slate,slacks,xkcd:almost black,36,-1
..\object_detection\ClothesCategory_v9\test\images\12478633_jpg.rf.9e487d2f5c94c4167ca3b40cb6c64d36.jpg,hoodies,xkcd:dark navy blue,denimpants,xkcd:light navy blue,38,36
..\object_detection\ClothesCategory_v9\test\images\12514543_jpg.rf.0b30ca38467e5b6a916d9c2a7dcb0156.jpg,sweater,xkcd:almost black,denimpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\12526271_jpg.rf.767e157dc63c1f398c0fc43889bad371.jpg,sweater,xkcd:almost black,shortpants,xkcd:medium grey,-1,21
..\object_detection\ClothesCategory_v9\test\images\12570600_blurr_jpg.rf.8afc5699117cbace7e5b8a7caf9579f2.jpg,padding,xkcd:cool grey,denimpants,xkcd:slate grey,19,36
..\object_detection\ClothesCategory_v9\test\images\12586857_jpg.rf.8a4ac20eb907bc76157d1148aa7bdf4f.jpg,jacket,xkcd:black,slacks,xkcd:dark grey blue,-1,72
..\object_detection\ClothesCategory_v9\test\images\12663945_jpg.rf.7d487cacc99b447de0ac7eaeb619ef80.jpg,padding,xkcd:almost black,denimpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\12834965_jpg.rf.b1fe23dcf576ac49352e9d8605d7e170.jpg,padding,xkcd:charcoal grey,denimpants,xkcd:dark grey blue,49,72
..\object_detection\ClothesCategory_v9\test\images\12903413_jpg.rf.fbf5bf44b7362e677258495a6d58779e.jpg,coat,xkcd:greyish brown,trainingpants,xkcd:greyish brown,17,17
..\object_detection\ClothesCategory_v9\test\images\12923151_jpg.rf.024543492ce7d7e4bd7ef7c54be622fe.jpg,mtm,xkcd:gunmetal,cottonpants,xkcd:black,36,-1
..\object_detection\ClothesCategory_v9\test\images\12994421_blurr_jpg.rf.4aa6598edd8a66fef0ca1052fe472058.jpg,coat,xkcd:almost black,denimpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\13025546_jpg.rf.383d0baa048c628255471489a5dcdc02.jpg,blazer,xkcd:almost black,skirt,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\13120871_jpg.rf.e104e52608595c236ca8db112bed63fd.jpg,coat,xkcd:purplish brown,skirt,xkcd:almost black,15,-1
..\object_detection\ClothesCategory_v9\test\images\13135334_jpg.rf.7e8c17486cd38ffe01a8297832ad2e10.jpg,padding,xkcd:black,slacks,xkcd:black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\13261734_jpg.rf.9663ebbbc07332ff84076a60c263789c.jpg,padding,xkcd:dark grey blue,denimpants,xkcd:dark,72,-1
..\object_detection\ClothesCategory_v9\test\images\13351509_jpg.rf.d1bae42f761c21000236c1f3e059b2e0.jpg,coat,xkcd:black,slacks,xkcd:black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\13743851_jpg.rf.d6aaeb9a5efbee954beb1246b75c9f69.jpg,padding,xkcd:putty,trainingpants,xkcd:dark,14,-1
..\object_detection\ClothesCategory_v9\test\images\13816212_jpg.rf.d090c55b3ba269feb6eca067c715f206.jpg,jacket,xkcd:charcoal grey,cottonpants,xkcd:brown grey,49,17
..\object_detection\ClothesCategory_v9\test\images\13830750_jpg.rf.9eef6ff99834d523900a8dea992718db.jpg,coat,xkcd:almost black,cottonpants,xkcd:brown grey,-1,17
..\object_detection\ClothesCategory_v9\test\images\13879288_jpg.rf.16c560b823bc982bd2526c517b97c461.jpg,coat,xkcd:purple brown,cottonpants,xkcd:brown grey,15,17
..\object_detection\ClothesCategory_v9\test\images\13882294_jpg.rf.742974828a13e357aea82b9bd556d2fa.jpg,shirt,xkcd:perrywinkle,cottonpants,xkcd:brown grey,68,17
..\object_detection\ClothesCategory_v9\test\images\13949178_jpg.rf.78e2ae1b44b7993f7b4a5e0d1f0775a8.jpg,padding,xkcd:dark,slacks,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\13969015_jpg.rf.9d69409c54d2fb9dcef6517cf8db470a.jpg,mtm,xkcd:battleship grey,shortpants,xkcd:light grey,12,-1
..\object_detection\ClothesCategory_v9\test\images\14154006_jpg.rf.861d99bdb4a7c1edd61b0fc2fb2fec05.jpg,coat,xkcd:almost black,shortpants,xkcd:light grey,-1,-1
..\object_detection\ClothesCategory_v9\test\images\14260451_jpg.rf.706751a7bca2753ae443a5ee551af9e2.jpg,cardigan,xkcd:purple brown,cottonpants,xkcd:purple brown,15,15
..\object_detection\ClothesCategory_v9\test\images\14271682_blurr_jpg.rf.0687f6f08009c95315a989533ebe5dd4.jpg,sweater,xkcd:dark,slacks,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\14280291_blurr_jpg.rf.83ee125b2547fc6cc6c1256566032a4c.jpg,shirt,xkcd:grey,cottonpants,xkcd:white,70,9
..\object_detection\ClothesCategory_v9\test\images\14319154_jpg.rf.80ff8b0564edb1e23d9b904546de8744.jpg,padding,xkcd:pinkish grey,trainingpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\14370460_jpg.rf.03596d7ad6feffdbd8b0c21cdb086edc.jpg,mtm,xkcd:silver,shortpants,xkcd:black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\14616517_jpg.rf.5f3535daa92e3a806abde460a72e3da5.jpg,coat,xkcd:almost black,cottonpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\14654277_jpg.rf.c236a13fe3fe45f93cedf90dd027992b.jpg,shortsleeve,xkcd:dark,denimpants,xkcd:charcoal grey,-1,49
..\object_detection\ClothesCategory_v9\test\images\14708849_jpg.rf.8376e9d68e120f9128463e2b7882fbbf.jpg,coat,xkcd:black,denimpants,xkcd:charcoal grey,-1,49
..\object_detection\ClothesCategory_v9\test\images\14871729_jpg.rf.8b3bb6bf16bc2b8a6edd24e96bf19818.jpg,blazer,xkcd:almost black,slacks,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\14882245_jpg.rf.655a774b86bdf3233f1f9079d93fd7fa.jpg,cardigan,xkcd:gunmetal,denimpants,xkcd:gunmetal,36,36
..\object_detection\ClothesCategory_v9\test\images\14903112_jpg.rf.56fcde00f51c0118f3c8d2bfc027f6f0.jpg,padding,xkcd:almost black,denimpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\14924597_jpg.rf.a0eee77efd9904f10d542cb5abc78356.jpg,jacket,xkcd:almost black,slacks,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\14999768_jpg.rf.62da4407479cc759e3814a68383aa8c8.jpg,jacket,xkcd:dark,skirt,xkcd:dark grey,-1,49
..\object_detection\ClothesCategory_v9\test\images\15016342_jpg.rf.f9db23c2894886c222244a6c89b76986.jpg,jacket,xkcd:almost black,cottonpants,xkcd:very light brown,-1,14
..\object_detection\ClothesCategory_v9\test\images\15068924_blurr_jpg.rf.6913a463c4246fe0b8b8f1bb579dc294.jpg,cardigan,xkcd:pinkish grey,trainingpants,xkcd:medium grey,-1,21
..\object_detection\ClothesCategory_v9\test\images\15118874_jpg.rf.d28cd4f8a3887bf15ff34fbda159a6f9.jpg,shortsleeve,xkcd:light grey,denimpants,xkcd:metallic blue,-1,12
..\object_detection\ClothesCategory_v9\test\images\15140536_jpg.rf.1f0f8f422a1e54850fd900802c3d9441.jpg,cardigan,xkcd:bland,skirt,xkcd:slate,14,36
..\object_detection\ClothesCategory_v9\test\images\15141343_blurr_jpg.rf.f20079e2e8a00dacdb086af266b8e8ae.jpg,blazer,xkcd:dark,denimpants,xkcd:gunmetal,-1,36
..\object_detection\ClothesCategory_v9\test\images\15174229_blurr_jpg.rf.e39df7724f387c4cdee5756af3e8b509.jpg,jacket,xkcd:dark,slacks,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\15214870_jpg.rf.ac6c58a0d4222e9a3181462ea9c7786b.jpg,shortsleeve,xkcd:dark,cottonpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\15236994_jpg.rf.d918923f909834cd4c999d6f7d1bb979.jpg,cardigan,xkcd:mid blue,slacks,xkcd:black,61,-1
..\object_detection\ClothesCategory_v9\test\images\15273038_jpg.rf.4f08f8487eb0493e87e557e2ca7632ee.jpg,padding,xkcd:warm grey,skirt,xkcd:charcoal grey,70,49
..\object_detection\ClothesCategory_v9\test\images\15285271_blurr_jpg.rf.47b1dd87a11ff27fa213e70a3594b61e.jpg,padding,xkcd:almost black,skirt,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\15307460_jpg.rf.3153e0354c899d6f258a359922c6b8dc.jpg,jacket,xkcd:dark,slacks,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\15326950_jpg.rf.3166c6c7c1b7247d808e1f30fc729af9.jpg,blazer,xkcd:almost black,skirt,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\15341123_jpg.rf.c8651ddaa2bb23eabc2c38ee80612253.jpg,padding,xkcd:almost black,skirt,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\15377319_jpg.rf.4fdb12dc2c5c21c85ec953e54e2319fe.jpg,cardigan,xkcd:purplish brown,slacks,xkcd:chocolate,15,59
..\object_detection\ClothesCategory_v9\test\images\15382317_blurr_jpg.rf.79f2662c772cb92ac21440b8c6142a46.jpg,padding,xkcd:almost black,cottonpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\15431795_jpg.rf.2632ae2db9c505cd512c54a4c32444a4.jpg,sweater,xkcd:dirty purple,slacks,xkcd:black,44,-1
..\object_detection\ClothesCategory_v9\test\images\15464025_jpg.rf.6df9a664951a6a8ef2d7fc58f297bdf8.jpg,blazer,xkcd:dark,denimpants,xkcd:grey/blue,-1,12
..\object_detection\ClothesCategory_v9\test\images\15591829_jpg.rf.927cb0f363b0f8317d36b78d6cb1d8da.jpg,blazer,xkcd:charcoal grey,slacks,xkcd:charcoal grey,49,49
..\object_detection\ClothesCategory_v9\test\images\15596662_jpg.rf.605d0dbddef4923a65f179beaf5a2638.jpg,padding,xkcd:medium grey,trainingpants,xkcd:black,21,-1
..\object_detection\ClothesCategory_v9\test\images\15663316_blurr_jpg.rf.9b4aa9c32748f01fb95c1a6e9508e9bf.jpg,shortsleeve,xkcd:dark,trainingpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\15739384_jpg.rf.14dd7ac45c7333e2c4c6b9b7f0c192a2.jpg,coat,xkcd:almost black,denimpants,xkcd:black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\15798076_jpg.rf.c0cd20b7fd9b00e833b8adb2166a073b.jpg,padding,xkcd:very light pink,cottonpants,xkcd:putty,9,14
..\object_detection\ClothesCategory_v9\test\images\15826577_jpg.rf.cf689724f2dc2acca96c4c49d3f796cf.jpg,shortsleeve,xkcd:purplish grey,shortpants,xkcd:steel grey,21,12
..\object_detection\ClothesCategory_v9\test\images\15916070_jpg.rf.14ff9e301bc4b1a3159f2fe846192f00.jpg,cardigan,xkcd:warm grey,slacks,xkcd:almost black,70,-1
..\object_detection\ClothesCategory_v9\test\images\15917233_jpg.rf.d910f536f0b5517b34da0c191d47811b.jpg,longsleeve,xkcd:almost black,denimpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\15927388_jpg.rf.711e85c11c2d155b580dd362f514c944.jpg,blazer,xkcd:dark,slacks,xkcd:reddish grey,-1,17
..\object_detection\ClothesCategory_v9\test\images\15967682_jpg.rf.1e8b376acb35279404c55850c14d4f9a.jpg,blazer,xkcd:slate grey,cottonpants,xkcd:slate grey,36,36
..\object_detection\ClothesCategory_v9\test\images\16011175_blurr_jpg.rf.a4936a93b91b9a6239ddeea5b08119f5.jpg,shortsleeve,xkcd:almost black,slacks,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16020463_jpg.rf.1eec76ec9718714a07d0d4b3da48a3ca.jpg,coat,xkcd:almost black,slacks,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16026791_jpg.rf.5b0c3c98ed8c93d2f24036a5b2394ef3.jpg,coat,xkcd:dark grey,slacks,xkcd:very dark brown,49,-1
..\object_detection\ClothesCategory_v9\test\images\16075778_jpg.rf.bb71023e71c7369f026e7e822f46b4e3.jpg,shortsleeve,xkcd:almost black,shortpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16086218_jpg.rf.af98257247c6c8dfeeb9e811790f359f.jpg,cardigan,xkcd:almost black,denimpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16213276_jpg.rf.345d371a9bd95aea7c08ea2cfce9633b.jpg,hoodies,xkcd:warm grey,denimpants,xkcd:dark,70,-1
..\object_detection\ClothesCategory_v9\test\images\16248296_jpg.rf.7e7ff1ea2e37dd093c31809d1ced39d0.jpg,cardigan,xkcd:almost black,cottonpants,xkcd:purplish brown,-1,15
..\object_detection\ClothesCategory_v9\test\images\16272559_jpg.rf.76879a2f3b40d7d965580c12753d390f.jpg,longsleeve,xkcd:dark taupe,skirt,xkcd:slate grey,17,36
..\object_detection\ClothesCategory_v9\test\images\16294749_jpg.rf.10b16d68326ebcc4260af003cacd2950.jpg,mtm,xkcd:dark,slacks,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16307445_jpg.rf.1f0276bf4f60d39af3acea2ea387c78b.jpg,shortsleeve,xkcd:almost black,denimpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16313306_jpg.rf.ed8a147a8ce66b78ca438555c32e6a51.jpg,cardigan,xkcd:beige,skirt,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16316438_jpg.rf.c1c040e7fdf51825b68b7c7dab80022a.jpg,mtm,xkcd:black,denimpants,xkcd:brown grey,-1,17
..\object_detection\ClothesCategory_v9\test\images\16323663_blurr_jpg.rf.98dd189d3839eef0052ad3a0902134f4.jpg,mtm,xkcd:dusty teal,shortpants,xkcd:greeny blue,67,-1
..\object_detection\ClothesCategory_v9\test\images\16333488_jpg.rf.866b8701691f2e0b6c08d4900a7df877.jpg,shortsleeve,xkcd:dark,shortpants,xkcd:silver,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16343933_jpg.rf.ed9b224ddd3247ed595d3189b4834981.jpg,mtm,xkcd:almost black,shortpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16378963_jpg.rf.1762e33eb16883823d1ede676e805958.jpg,mtm,xkcd:charcoal grey,shortpants,xkcd:pinkish grey,49,-1
..\object_detection\ClothesCategory_v9\test\images\16380276_jpg.rf.0698296a2e1137b7c0f6044cecdb5cef.jpg,blazer,xkcd:dark,cottonpants,xkcd:pinkish grey,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16388910_jpg.rf.5902c4dc6de701f35f1fca613501e073.jpg,mtm,xkcd:pinkish grey,shortpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16481742_jpg.rf.454d3a47fd8c2131419c01a5d119bce8.jpg,mtm,xkcd:purplish brown,shortpants,xkcd:black,15,-1
..\object_detection\ClothesCategory_v9\test\images\16487932_jpg.rf.029b75ff2412ecd1abeaf30404d235ad.jpg,shortsleeve,xkcd:dark blue grey,denimpants,xkcd:dark,72,-1
..\object_detection\ClothesCategory_v9\test\images\16528686_jpg.rf.f29c0a7117a4d6f8b6501097b2861aa7.jpg,cardigan,xkcd:silver,slacks,xkcd:pinkish grey,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16540953_blurr_jpg.rf.8a61259bf914bb2f65299fe3ee7f4f7e.jpg,hoodies,xkcd:silver,trainingpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16545722_blurr_jpg.rf.d9baff301a397d3d44ae71a86ddde2ea.jpg,zipup,xkcd:charcoal,shortpants,xkcd:charcoal grey,49,49
..\object_detection\ClothesCategory_v9\test\images\16579468_jpg.rf.d29702a8628f82a2c6230fef13bed192.jpg,cardigan,xkcd:charcoal grey,trainingpants,xkcd:dark maroon,49,66
..\object_detection\ClothesCategory_v9\test\images\16582443_jpg.rf.449bd146a7b9aed8773c348a03e36452.jpg,mtm,xkcd:black,shortpants,xkcd:black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16595698_jpg.rf.2290b8f11bdacb752d89df174c0c1fa7.jpg,mtm,xkcd:almost black,shortpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16610780_blurr_jpg.rf.c46f94d773987fa667550eb2bacc39e5.jpg,shortsleeve,xkcd:almost black,shortpants,xkcd:crimson,-1,18
..\object_detection\ClothesCategory_v9\test\images\16657102_blurr_jpg.rf.a2fb39ff4326b6c437c2e323c600a160.jpg,shortsleeve,xkcd:very light pink,denimpants,xkcd:cloudy blue,9,76
..\object_detection\ClothesCategory_v9\test\images\16658364_jpg.rf.f4d252a6f409bc5a77d51a0d81e2fbc5.jpg,cardigan,xkcd:almost black,slacks,xkcd:dark grey,-1,49
..\object_detection\ClothesCategory_v9\test\images\16721559_jpg.rf.20017226c7e90c3ed4a73a21fd01216f.jpg,shortsleeve,xkcd:dark,denimpants,xkcd:dark navy blue,-1,38
..\object_detection\ClothesCategory_v9\test\images\16745159_jpg.rf.9a7d3b27ffd67c1e4f510439cbddca8b.jpg,zipup,xkcd:cool grey,shortpants,xkcd:dark grey blue,19,72
..\object_detection\ClothesCategory_v9\test\images\16764943_jpg.rf.0abaef5218a275de0c6733b6a570819f.jpg,shortsleeve,xkcd:light grey,shortpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16791503_jpg.rf.c37fbe5a244a81dfa8717e82ac6c9e5d.jpg,longsleeve,xkcd:dark,shortpants,xkcd:cement,-1,14
..\object_detection\ClothesCategory_v9\test\images\16802137_jpg.rf.2df82622287eca486ff164d45457b6f3.jpg,shortsleeve,xkcd:cement,shortpants,xkcd:greyish brown,14,17
..\object_detection\ClothesCategory_v9\test\images\16812215_jpg.rf.0d76667b1a6f7a25928da7c3ada1be8d.jpg,shirt,xkcd:white,shortpants,xkcd:almost black,9,-1
..\object_detection\ClothesCategory_v9\test\images\16836724_jpg.rf.5b390e92a4d8e791d7aba4005bf09dca.jpg,shirt,xkcd:white,slacks,xkcd:almost black,9,-1
..\object_detection\ClothesCategory_v9\test\images\16850753_jpg.rf.2079a6aa42fcf7e37254f584afad2f37.jpg,shortsleeve,xkcd:cherry,shortpants,xkcd:caramel,58,7
..\object_detection\ClothesCategory_v9\test\images\16881004_jpg.rf.57caa9146023f9ccdd93a083975b1108.jpg,shortsleeve,xkcd:dark teal,shortpants,xkcd:dark,2,-1
..\object_detection\ClothesCategory_v9\test\images\16884327_jpg.rf.fe250688a327e6a08d5683c7731054fc.jpg,hoodies,xkcd:almost black,shortpants,xkcd:black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16890725_jpg.rf.9abafa2f89b0419850d1d3048577a7ba.jpg,shortsleeve,xkcd:light grey,shortpants,xkcd:putty,-1,14
..\object_detection\ClothesCategory_v9\test\images\16890785_jpg.rf.159ebd03c617427894714c436feaae85.jpg,mtm,xkcd:dark,shortpants,xkcd:dark,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16902541_jpg.rf.2e1b017ff2fa2eb349c0cdf974d47478.jpg,mtm,xkcd:faded blue,shortpants,xkcd:light grey,-1,-1
..\object_detection\ClothesCategory_v9\test\images\16919801_jpg.rf.f8bd242495ce78851df754d4862d8d59.jpg,shirt,xkcd:dark grey blue,shortpants,xkcd:brown grey,72,17
..\object_detection\ClothesCategory_v9\test\images\16942664_jpg.rf.c8fc948a5a3149a5b031382aab1484d9.jpg,shortsleeve,xkcd:dark,skirt,xkcd:white,-1,9
